"사건 제어 블록, 事件制御-, Event Control Block, ECB",,컴퓨터 운영 체계(OS)에서 사건의 상태를 나타내는 데 사용되는 제어 블록.
"사상 함수, 寫像函數, mapping function",,기억 장소와 자료의 대응 관계를 나타내는 함수.
"사설 관리 영역, 私設管理領域, Private Management Domain, PRMD",,"ITU-T(구 CCITT) 권고 X.400을 기반으로 하는 메시지 통신 처리 시스템(MHS)에서, 불특정 다수를 대상으로 서비스하는 공중 MHS와 기업 내 또는 단체 내의 한정된 사용자를 대상으로 하는 사설 MHS가 있는데, 이때 공중 MHS에 접속될 수 있는 사설 MHS. 한편 이에 대하여 공중 MHS를 주관청 관리 영역(ADMD)이라고 한다. ADMD는 다른 ADMD로부터 보내온 메시지를 다른 ADMD로 중계하는 기능이 있으나 사설 관리 영역(PRMD)은 이런 중계 기능이 없다."
"사설 교환기, 私設交換機, Private Branch eXchange, PBX",,"기업이나 구내의 전화, 팩스 등 내부 통신 서비스를 제공하는 구내 교환기의 총칭. 자동식을 별도로 PABX(Private Automatic Branch eXchange)라 구분하는 경우에는 수동식만을 지칭한다."
"사설망 간 인터페이스, 私設網間-, Private Network-to-Network Interface, PNNI",,비동기 전송 방식(ATM) 교환기 상호 간에 주고받는 경로 지정 및 호 제어 통신 규약. 회선의 장애나 혼잡 상태에 따라 최적의 전송 경로를 동적(動的)으로 결정하는 기능 등이 있어 경로 우회나 부하 분산이 가능하다. 경로 제어 기능은 IP 통신망에서 최단 경로 우선 프로토콜(OSPF: Open Shortest Path First)과 유사하다. 예를 들면 ATM망을 몇 개 그룹으로 나눈 후 그 그룹을 계층화해서 경로를 제어할 수 있다. 
"사설망 간 통합 인터페이스, 私設網間統合-, Integrated Private Network-to-Network Interface, IPNNI",,"비동기 전송 방식(ATM) 스위치와 에지 장비(edge device) 사이의 인터페이스상에서 정보를 제공하는 역할을 하는 프로토콜. ATM 스위치와 기존의 인터넷워킹 계층의 프로토콜을 위한 싱글 아우팅 프로토콜로, 인터넷 프로토콜(IP)과 같은 역할을 수행한다."
"사설망 식별 부호, 私設網識別符號, Private data Network Identification Code, PNIC",,국제 공중 교환 데이터망의 번호 체계에서 사설 데이터 통신망을 식별하기 위하여 4자리의 데이터 통신망 식별 번호(DNIC: Data Network Identification Code)에 이어지는 3자리의 숫자.
"사설 이동 무선, 私設移動無線, Private Mobile Radio, PMR",,"경찰서, 소방서, 기타 공공 기관에서 일상 업무를 수행하기 위해 사용하는 자체 이동 전화. 광의로는 택시 업체 등 사설 업체에서 자기 서비스를 제공하기 위해 쓰는 자체 이동 전화를 포함한다."
"사설 인터넷 프로토콜 주소, 私設-住所, Private Internet Protocol Address, PIA",,"단위 또는 기타 조직 내에서만의 이용을 목적으로 한 IP 주소. 세계적으로 할당되는 전역 IP 주소와 대응되는 용어이다. 사용할 수 있는 IP 주소는 RFC로 지정되어 있는데, 일반적으로 A, B, C, D, E의 5종으로 분류된다. 인터넷 접속 시 이용자는 등급 A, B, C 중 하나를 사용하게 되며 접속 가능한 호스트의 수는 등급 A, B, C 순으로 점차 적어진다. 등급 D는 멀티캐스트용이고 E는 실험용으로 사용하기 때문에 일반 인터넷 접속 시에는 이용되지 않는다."
"사설 자동 구내 교환기, 私設自動構內交換機, Private Automatic Branch Exchange, PABX",,"구내 교환기의 내선 상호 간 통화 접속이 자동식에 준한 교환기. 내선에서 국선으로의 발신 접속은 직접 외부 호출 방식(DOD)이지만, 외부 가입자와 내선 가입자의 접속은 중계대를 경유하여 수동식에 의해 접속되거나 착신 접속까지도 자동식(DID)인 것도 있다."
"사설 주소, 私設住所, private address",,"근거리 통신망(LAN)에서 임의로 사용되는 IP 주소.인터넷에 접속한 모든 기기는 고유한 IP 주소를 가져야 하나 IP 주소가 부족하게 되어 사설 주소를 부여한다. 사설 주소가 부여된 기기가 인터넷에 접속할 때는 해당 LAN의 특정 호스트나 라우터에서 주소를 변환하여 인터넷에 접속할 수 있도록 해준다. IETF RFC 1918에 규정되어 있으며 여기에는 다음의 주소 영역들이 사설 주소로 정의되어 있다. 24 비트 블록: 10.0.0.0 ~ 10.255.255.255, 20 비트 블록: 172.16.0.0 ~ 172.31.255.255, 16 비트 블록: 192.168.0.0 ~ 192.168.255.255"
"사시각, 斜視角, squint",,①돌출부 전환 안테나 또는 도시 다(多) 돌출부 안테나의 각 돌출부 주축과 중앙축 사이의 각. ②안테나의 방사축(放射軸)과 어느 선정된 기하학적 축 사이의 각. ③어느 선정된 기하학적 축에서부터 벗어난 각만큼 안테나의 주 돌출부를 향하게 하는 것.
"사실 데이터베이스, 事實-, fact database",,"수치, 문헌, 기사의 전문, 항공 사진, 설계 도면과 같은 가공하지 않은 상태의 원시 정보를 모은 데이터베이스. 주가 등의 경제 지표는 물론 각종 통계, 실험 관측 데이터 등이 그 대표적인 예로, 가공하지 않은 1차 정보라는 의미에서 ‘원시 데이터베이스’라 한다. 반면, 문헌 초록이나 서지 데이터 등의 가공된 2차 정보를 ‘참조 데이터베이스’라 한다."
"사실 표준, 事實標準, de facto standard",,"시장에서 표준으로 인정받거나, 필요에 따라 업계를 중심으로 결성된 사실 표준화 기구에서 제정되는 표준. 대표적인 예가 마이크로소프트사의 윈도우(Microsoft Windows)이다. 사실 표준은 강제 사항은 아니나 업계에서는 대부분 이 표준을 준수한다. 완성된 사실 표준은 필요하면 공신력 있는 국제 또는 국가 표준화 기구에서 일정한 절차와 심의를 걸쳐 공식 표준(de jure standard)으로 제정되는 경우도 있으나 대부분은 시장의 필요가 적어질 경우 자연스럽게 도태된다. 사실 표준화 기구로 미국 전기전자협회(IEEE), 인터넷 엔지니어링 태스크 포스(IETF), 월드와이드웹 컨소시엄(W3C) 등이 있다."
"사업자 이동성 코드, 事業者移動性-, Carrier Portability Code, CPC",,"전화 번호 이동성에 사업자 지역 번호를 이용하는 호 전환 방법. 번호 이동성 제공을 위한 중간 단계의 해결 방법으로서 위치 이동성에는 사용할 수 없고, 같은 지역 번호 지역 내의 서비스 제공자 이동성에만 사용할 수 있다. 사업자에게 CPC를 할당하고 번호 이동성 데이터베이스를 사용하여 이동된 번호를 서비스하는 사업자의 CPC의 번호로 망 내에서 라우팅이 이루어진다. 번호 이동성 데이터베이스 지원 지역 내에서만 사용되는 단점이 있으나 적은 비용, 추가적인 번호 불필요, 부가 서비스 제공 가능, 지능망 이용 등 장점이 있다."
"사업화연계 기술개발사업, 事業化連繫技術開發事業, Research and Business Development, R&BD",,"지식이나 기술의 상업적 결과를 위해 연구하는 것. 그 결과물을 상품이나 서비스 개발과 발전에 쓰도록 하는 것을 목적으로 한다. 사업 수립 단계부터 성과 활용과 산업화에 대한 철저한 분석을 통해 과제를 선정하고 이를 기획, 실용화하는 방법이다."
"사용 개시 절차, 使用開始節次, logon procedure",,"세션을 설정하기 위한 절차. 세션 중에 필요한 각종 데이터 집합을 지정하거나, 단말 감시 프로그램(TMP)을 불러내는 제어문으로 구성된다."
"사용량 변수 제어, 使用量變數制御, Usage Parameter Control, UPC",,"사용자-망 인터페이스에서 통신 중의 호량을 감시, 제어하고 접속 설정 시 망/단말 간에 합의된 호량의 변수를 감시하여, 위반을 검출했을 때는 폐기하여 악의적 또는 비의도적 행위로부터 망 자원을 보호하는 기능."
"사용성, 使用性, usability",,"대개 Usability 를 사용편의성, 사용성, 유용성을 혼용해서 번역하고 있는 실정이지만 엄밀히 살펴보면 사용성이 사용편의성 개념을 포괄하고 있습니다. Usability 는 엄밀히 말하면, 쌍방향 제품(Interactive product)을 통해 고객이 '원하는 목적을 제대로 달성(Useful)'하였는가와 그러한 목적을 '가능한 편리하게 수행(Usable)'하였는가 그리고 '전반적인 사용 만족도(Satisfiable)'는 어떠하였는가와 같은 측정 요소들을 가지는 복합적인 개념입니다(ISO 9241-11). 즉, 사용성이 높은 제품이라고 하는 것은, 유용하고 편리한 만족도가 높은 제품을 말합니다."
"사용 속성, 使用屬性, use attribute",,불특정 볼륨 요구에 대한 볼륨의 할당 방법을 제어하기 위한 개념. 공용(公用)/사용(私用)/저장의 3가지 속성이 있다.
"사용시간당 지불형 PC, 使用時間當支拂型-, pay-as-you-go PC",,"초기에는 PC를 저렴하게 판매하고, 탑재된 소프트웨어를 계속 사용할 경우 선불 카드를 구입하거나 월정액으로 비용을 지불하게 하는 제품 판매와 서비스가 결합된 형태의 PC 판매 방식.  마이크로소프트사가 제시한 서비스 RexGo에 적용된 방식이다. 사용자는 최초 PC를 1/3 정도의 낮은 가격으로 구입하고, 일정기간 사용한 이후에는 선불카드를 구입하거나 월정액 요금제에 가입해야 한다."
