word,synonym,description
"나무 구조, -構造, tree structure",,"나무꼴로 된 데이터 구조의 하나. 즉, 정보를 지정하는 노드들이 가장 위쪽에 있는 뿌리 노드를 정점으로 부모/자식/자손 관계를 이루며 나뭇가지처럼 갈라져 있는 구조를 말한다. 이 구조에서는 뿌리 노드에서 나무 안의 어떤 노드로 가는 경로는 단 하나밖에 없다. 가지의 맨 끝에 있는 노드, 즉 자신의 자식 노드를 갖고 있지 않으며, 뿌리 노드에서 가장 멀리 위치한 노드를 리프(leaf)라 한다."
"나무 구조 파일, -構造-, tree-structured file",,"n항 탐색 나무를 파일 편성에 꾸며 넣은 것. 하나의 파일이 다수의 작은 부분으로 분할되고, 각 부분은 n-1개의 레코드와 n개의 다른 작은 부분에 대한 포인터로 구성된다."
"나무 자동 장치, -自動裝置, tree automaton",,"기호열 대신에 레이블이 붙은 나무를 처리하는 자동 장치. 나무의 각 잎마디에 붙어 있는 레이블에 대응하는 상태를 할당한다. 그 밖의 각 마디에는 그 마디의 레이블 a와 그 마디의 아래 마디의 상태 s1, s3, …, sk를 변수로 하는 함수 Δ에 따라 정해지는 상태 Δ(a, s1, s2, … sk)를 할당한다. 이와 같이 하여 각 마디의 상태를 결정하고, 나무의 상태를 결정하며 나무의 뿌리에 할당된 상태가 최종 상태일 경우에 그 나무가 완성된다."
"나무 탐색, -探索, tree search",,게임과 문제 등을 해결해 나가기 위해 게임 나무 및 논리곱/논리합(AND/OR) 그래프를 일정한 순서에 따라서 더듬어 가는 것.
"나무형, -形, tree",,"데이터를 저장하는 노드들이 계층적으로 연결되어 있는 자료 구조의 하나. 가장 위쪽에 있는 노드를 뿌리(root) 또는 뿌리 노드(root node)라고 한다. 뿌리는 에지(edge)로 연결된 자식 노드(child node)를 가질 수 있는데, 이때에 뿌리는 자식 노드의 부모 노드(parent node)가 된다. 자식 노드는 또 자신의 자식 노드를 가질 수 있다. 부모가 같은 노드를 형제 노드(sibling)라고 한다. 나무 안의 각 노드(부모 노드를 갖고 있지 않은 뿌리 노드는 제외)에는 꼭 하나의 부모 노드가 있다. 그래서 나무 안의 모든 노드는 뿌리 노드의 자손이 된다. 이와 같은 노드 간의 관계 때문에 뿌리 노드에서 나무 안의 다른 어떤 노드로 가는 경로는 단 하나밖에 없다. 나무형은 나무 구조와 같은 의미를 갖는다. 나무 구조는 디스크상의 파일 시스템 관리, 데이터베이스 관리 등 여러 분야에서 널리 사용되는 자료 구조이다."
"나무형 망, -型網, tree network",,망 접속 형태의 하나. 망 내 어느 2개의 노드 간에도 하나의 통신 경로밖에 없는 망을 말한다.
"나무 형태, -形態, tree topology",,"근거리망의 특성으로 사용되는 형태로는 방사형, 고리형, 버스 또는 나무형의 3종류가 있다. 버스 또는 나무형의 특성은 다중점 매체를 이용하는 것인데, 버스형은 나무형의 특수한 경우로서 1개의 트렁크를 가지며 가지(branch)는 없다. 모든 장치는 공용 통신 매체를 공유하며 버스 또는 나무형의 한 쌍의 장치만 동시에 통신할 수 있다. 분산된 중간 접근 프로토콜은 다음에 전송할 지국을 결정한다. 각 지국은 매체를 감시하고 출발지와 목적지 주소 필드를 포함하고 있는 패킷들을 복사한다. 전송은 시발지와 목적지 주소 필드를 포함하고 있는 패킷을 사용한다."
"나무형 회로, -型回路, tree circuit",,여러 개의 접점을 나뭇가지 형태로 배열한 다음 한 개의 입력 단자가 여러 개의 출력 단자의 어느 하나에 접속되도록 고려한 접점 회로.
"나뭇가지형 회로, -型回路, tree-like network",,여러 개의 단자 소자가 종속된 회로에서 그 접속점에 스터브가 병렬로 접속된 형태의 분포 정수 회로. 스트립 선로 필터 등에 널리 이용된다.
"나바로, Navigation Aid Rho, NAVARHO",,"방위와 거리를 동시에 주는 장거리 연속 저주파수의 항행 원조 방식의 기기. 주어진 점에서 방사 패턴이 겹쳐지는 진폭을 비교함으로써 송신국의 방위가 구해진다. 또, 거리는 위상 비교로부터 구해진다. 항공기에 사용되는 비컨의 일종으로 사용 주파수대는 90~110kHz이며, 대출력(약 100kw)으로 유효 통달 거리는 3,000km 정도이다."
