word,synonym,description
"카메라 일체형 녹화기, -一體型錄畵器, single unit video camera recorder",,1981년 마쓰시타사와 소니사가 거의 동시에 발표한 방송 취재용의 카메라 일체형 녹화기. 테이프는 카세트를 사용하며 방송용 이외에도 가정용으로 많이 개발되어 나오고 있다.
"카메라 제어 장치, -制御裝置, Camera Control Unit, CCU",,"영상 모니터, 파형 모니터를 써서 카메라의 조정, 입력 신호의 제어, 감시를 하는 텔레비전 카메라 장치의 일부. 카메라로부터의 영상 출력을 소요의 레벨까지 증폭하고 귀선 소거 신호나 동기 신호를 혼합하여 규정의 신호 파형으로 조정하는 영상 증폭기, 영상을 감시하는 영상 모니터, 신호 파형 및 레벨을 감시하는 파형 모니터, 카메라를 제어 조정하는 제어 회로, 그 밖에 카메라 조작에 필요한 신호 및 전화 회로 등으로 구성되어 있다."
"카메라폰 촬영음, -撮影音, Phone camera shutter sound",,"휴대폰의 카메라로 사진을 찍을 때 셔터의 동작과 함께 발생되도록 한 음. 불법 사용을 막기 위하여 카메라폰은 촬영 시 반드시 60~68dB 사이의 촬영음을 내야 하고, 종류는 '찰칵', '하나-둘-셋' 등 카메라 촬영임을 알 수 있는 소리로 여러 가지가 있다. 에티켓 모드에서도 해제할 수 없도록 되어 있다. 반면 피사체가 인식할 수 있는 플래시 등 강제 발광을 하는 카메라폰 및 화상 통화가 가능한 WCDMA 단말기에 대해서는 예외로 한다."
"카멜레온 카드, chameleon card",,여러 가지 카드를 하나의 카드로 나타낼 수 있는 전산화 카드. 여러 가지 카드를 몸에 지니고 다닐 필요 없이 포켓 볼트라는 소형 휴대 장치에 내장된 카멜레온 카드 하나로 카드 도난도 막고 카드 정보도 보호하는 보안성을 가지고 있다. 무선 식별 기능도 내장할 수 있고 사용자 사진을 표시하는 기능도 있다.
"카본 카피, Carbon Copy, Cc",,"전자 우편에서 본래의 수신인(주 수신인) 이외의 다른 수신을 지정하여 발신하는 것, 또는 그렇게 발신된 전자 우편. 전자 우편의 서식은 헤더 부분과 메시지 부분으로 구분되는데 헤더 부분에는 수신인의 전자 우편 주소(To), 발신인의 전자 우편 주소(From) 및 제목(Subject)을 반드시 기입해야 한다. 그 다음에 카본 카피를 뜻하는 ‘Cc:’ 다음에 다른 수신인의 전자 우편 주소를 기입하면 그 수신인에게도 똑같은 전자 우편이 전달된다. 복수의 수신인을 기입할 수도 있다. 본래의 수신인도 똑같은 메시지를 누가 받고 있는지를 알 수 있다. 카본 카피라는 용어는 타자기에서 카본지를 사용해서 작성한 복사본에서 유래하였다."
"카비르, Cabir",,"모바일 악성 코드의 일종으로 단말의 전력을 지속적으로 소모해 배터리의 수명을 단축하는 공격 유형. 단말의 침해를 유발하지 않는 대신 지속적으로 인근 단말의 블루투스를 스캐닝하고, 블루투스를 통해 악성 코드를 전파한다. 감염된 단말은 지속적인 스캐닝을 통해 배터리의 고갈 피해를 입게 된다."
"카세그레인 안테나, cassegrain antenna",,"위성 통신 지구국에서 널리 사용되는 반사경 안테나의 일종. 반사기로부터의 전파를 먼저 회전 쌍곡면을 한 부 반사경에 보내서, 그 반사파를 주 반사경(회전 포물선형 면)에 조사(照射)시킨다. 같은 이름을 가진 망원경의 원리에 의해 개발된 것이다."
"카세트식 데이터 기록기, -式-記錄器, magnetic tape cassette data recorder",,카세트 테이프를 기록 매체로 사용하여 데이터를 저장하고 읽을 수 있는 보조 기억 장치. 자기 테이프 기억 장치에 비해 소형이고 조작이 간편하며 값이 싸서 소형 또는 마이크로컴퓨터의 보조 기억 장치로 사용된다.
"카스혼 안테나, cass-horn antenna",,"미국 벨 연구소에서 시작된 카세그레인 안테나의 변형 안테나. 그림과 같이 주반사경, 부반사경, 일차 복사기로 구성되어 있다. 안테나의 개구면이 혼 안테나와 같이 개구면을 없애고 측벽이 전부 외부와 차단되어 있기 때문에, 카세그레인 안테나와 혼 안테나의 중간이라는 뜻으로 카스혼 안테나라고 불린다. 개구면 이외에서 새어나가는 전파가 없기 때문에 저잡음 특성이 우수하다."
"카운터 포이즈, counter poise",,"①장/중파 송신 안테나의 전력 손실에서 큰 비율을 차지하는 접지 저항손(抵抗損)을 적게 하기 위해서는 접지 저항을 적게 하는 것이 필요하지만, 이것이 곤란한 장소에서는 안테나의 하부에 대지로부터 절연한 다수의 도선을 수평으로 가설하고, 대지와의 사이에 저임피던스를 확보하도록 한 것. ②전력 송전선의 철탑 하부에서 지하에 매설한 도체 또는 도체계. 철탑 사다리에 접속된 피뢰를 목적으로 사용된다."
